"subject";"log_concentration";"intensity";"AFC"
"S148";-1.56863623584101;6;1
"S153";-1.56863623584101;2;1
"S168";-1.56863623584101;6;0
"S184";-1.56863623584101;2;1
"S185";-1.56863623584101;0;0
"S074";-1.56863623584101;7;0
"S110";-1.56863623584101;6;0
"S165";-1.56863623584101;4;0
"S041";-1.56863623584101;2;0
"S053";-1.56863623584101;2;0
"S161";-1.56863623584101;2;0
"S174";-1.56863623584101;1;0
"S068";-1.56863623584101;5;0
"S166";-1.56863623584101;6;0
"S063";-1.56863623584101;5;0
"S004";-1.56863623584101;4;0
"S094";-1.56863623584101;0;0
"S105";-1.56863623584101;4;0
"S117";-1.56863623584101;1;1
"S146";-1.56863623584101;1;0
"S163";-1.56863623584101;2;0
"S024";-1.56863623584101;1;0
"S036";-1.56863623584101;1;1
"S044";-1.56863623584101;1;0
"S047";-1.56863623584101;4;0
"S048";-1.56863623584101;1;0
"S086";-1.56863623584101;1;1
"S095";-1.56863623584101;3;1
"S100";-1.56863623584101;5;0
"S138";-1.56863623584101;3;0
"S141";-1.56863623584101;4;1
"S158";-1.56863623584101;3;0
"S159";-1.56863623584101;5;1
"S187";-1.56863623584101;6;0
"S070";-1.56863623584101;3;0
"S083";-1.56863623584101;3;0
"S096";-1.56863623584101;4;1
"S108";-1.56863623584101;3;0
"S164";-1.56863623584101;0;0
"S178";-1.56863623584101;4;0
"S189";-1.56863623584101;3;0
"S194";-1.56863623584101;6;0
"S006";-1.56863623584101;2;1
"S145";-1.56863623584101;6;1
"S188";-1.56863623584101;1;1
"S032";-1.56863623584101;8;1
"S066";-1.56863623584101;5;1
"S029";-1.56863623584101;2;1
"S062";-1.56863623584101;5;0
"S133";-1.56863623584101;1;0
"S136";-1.56863623584101;5;0
"S149";-1.56863623584101;3;1
"S162";-1.56863623584101;6;1
"S173";-1.56863623584101;3;0
"S011";-1.56863623584101;4;0
"S034";-1.56863623584101;2;0
"S042";-1.56863623584101;7;0
"S081";-1.56863623584101;3;1
"S091";-1.56863623584101;1;0
"S170";-1.56863623584101;1;0
"S192";-1.56863623584101;3;0
